;meta[language=pl]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
;Translation made by Spontan, 13-02-2020
;
1073416|00000000||Przytrzymaj <<LockAndGuard>> by parować ciosy.<br><br>Nie wszystkie ataki mogą zostać sparowane. Jeśli spróbujesz jednak sparować taki atak, wykonasz wtedy <font color="#CD7D03">niepełne parowanie</font>. Niepełne parowania chronią przed krwawieniem i częściowo redukują otrzymane obrażenia, lecz wiedźmin zostaje wytrącony z równowagi.<br><br>Jeśli nie masz wystarczająco dużo Wytrzymałości by sparować atak, parowanie to zostaje uznane jako niepełne bez względu na to, czy atak może zostać sparowany, czy nie.
1073418|00000000||Naciśnij <<LockAndGuard>> zaraz przed tym jak twój przeciwnik zaatakuje by wykonać kontratak.<br><br>Nie wszystkie ataki mogą zostać skontrowane. Jeśli jednak spróbujesz skontrować taki atak, wykonasz wtedy <font color="#CD7D03">niepełny kontratak</font>. Niepełne kontry trochę zmniejszają obrażenia, ale nie zapobiegają negatywnym efektom takim jak krwawienie.
1075370|00000000||By wykonać Szybki Atak, naciśnij <<AttackLight>>.<br><br>Szybkie Ataki pozwalają na zadanie dużych ilości obrażeń w krótkim czasie, ale nie radzą sobie z przeszywaniem Pancerza.
1075376|00000000||By wykonać Silny Atak, naciśnij <<AttackHeavy>>.<br><br>Silne Ataki są o wiele wolniejsze niż Szybkie Ataki, ale zadają więcej obrażeń i dobrze radzą sobie z przeszywaniem Pancerza.<br><br>Słabi przeciwnicy nie są w stanie sparować Silnych Ataków.
1075378|00000000||By wykonać unik, wybierz kierunek, w którym chciałabyś/chciałbyś go wykonać używając <<GI_AxisLeft>> i naciśnij <<Dodge>>.<br><br>By wykonać poprawny unik, musisz dobrze dobrać moment jego wykonania i kierunek: robienie uniku w kierunku przeciwnika jest niebezpieczne i narazi cię na otrzymanie obrażeń.<br><br>Nie od wszystkich ataków można się ustrzec przy pomocy uniku.
1075445|00000000||By rzucić bombę, naciśnij <<ThrowItem>>.<br><br>By wycelować przed rzutem, przytrzymaj <<ThrowItem>> i wyceluj. Potem puść <<ThrowItem>> by rzucić bombę.<br><br>Niewycelowane bomby można rzucić szybciej, ale zadają one 50% mniej obrażeń.
1075722|00000000||By rzucić Znak, naciśnij <<CastSign>>.<br><br>Rzucenie Znaku używa Wytrzymałośś. Istnieje czas odnowienia zanim będzie można ponownie rzucić ten sam Znak.
1075726|00000000||Naciśnij <<ThrowItem>> by wystrzelić bełt.<br><br>Możesz także skorygować strzał przytrzymując <<ThrowItem>> by wycelować i puszczając <<ThrowItem>>.<br><br>Niewycelowane strzały z kuszy można wykonać szybciej, ale zadają one 50% mniej obrażeń.<br><br>W panelu Ekwipunku możesz wybrać typ bełtu jaki chcesz użyć w kuszy. Niektóre bełty mają specjalne właściwości.
1075756|00000000||Czynności w czasie walki wymagają Wytzymałości by je wykonać. Jeśli twój poziom Wytzymałości nie jest wystarczający, wykonanie danej akcji nie będzie możliwe.<br><br>Ilość używanej Wytrzymałości jest różna w zależności od czynności.<br><br>Wytrzymałość regeneruje się automatycznie. Jeśli nie masz jej wystarczająco na wykonanie danej akcji, zaczekaj aż się zregeneruje.<br><br>Istnieje wiele sposobów w grze na przyspieszenie tempa regeneracji Wytrzymałości: zdolności, eliksiry, trofea, itd.
