;meta[language=en]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110992000|        |panel_Mods|Mods
2110992001|        |panel_ghost_mode|Ghost Mode
2110992002|        |option_gm_health_multiplier|적 체력 수치
2110992003|        |option_gm_damage_multiplier|적 공격력 수치
2110992004|        |option_gm_enemies_scaling|적 스케일
2110992005|        |preset_value_gm_es_none|하지 않음
2110992006|        |preset_value_gm_es_upscale|업스케일
2110992007|        |preset_value_gm_es_match|일치
2110992013|        |attribute_name_frost_resistance_perc|빙결 저항
2110992014|        |attribute_name_armor_reduction_perc|적 공격 저항 감소
2110992015|        |attribute_name_potion_duration|포션 지속 시간
2110992016|        |preset_value_gm_es_soft|소프트 업스케일
2110992017|        |panel_common_statistics_tooltip_silver_dph_gm|타격당 공격력 (은검)
2110992018|        |panel_common_statistics_tooltip_steel_dph_gm|타격당 공격력 (강철검)
2110992019|        |gm_sign_stats_channeling_damage_per_sec|화염 물결 초당 데미지
2110992020|        |gm_sign_stats_yrden_traps|마법 결계
2110992021|        |gm_sign_stats_yrden_damage|마법 결계 공격력
2110992022|        |gm_sign_stats_alt_yrden_duration|마법 터렛 지속 시간
2110992023|        |gm_sign_stats_alt_yrden_charges|마법 터렛 충전량
2110992024|        |gm_sign_stats_alt_yrden_damage|마법 터렛 공격력
2110992025|        |gm_sign_stats_alt_quen_returned_damage|반사 공격력
2110992026|        |gm_sign_stats_alt_quen_dmg_absorption|보호막 생성 시 피해 흡수량
2110992027|        |gm_sign_stats_alt_axii_chance|액시 확률
2110992028|        |gm_combat_stats_fast_attack_power|속공 공격력
2110992029|        |gm_combat_stats_strong_attack_power|강공 공격력
2110992030|        |gm_sign_stats_quen_dmg_absorption|공격 흡수
2110992034|        |attribute_name_vsBeast_critical_hit_chance|야수 대응 치명타 확률
2110992035|        |attribute_name_vsCursed_critical_hit_chance|저주받은 적 치명타 확률
2110992036|        |attribute_name_vsDraconide_critical_hit_chance|드라코니드 대응 치명타 확률
2110992037|        |attribute_name_vsHuman_critical_hit_chance|교수형자 대응 치명타 확률
2110992038|        |attribute_name_vsHybrid_critical_hit_chance|잡종 생물 대응 치명타 확률
2110992039|        |attribute_name_vsInsectoid_critical_hit_chance|곤충류 대응 치명타 확률
2110992040|        |attribute_name_vsMagicals_critical_hit_chance|정령 대응 치명타 확률
2110992041|        |attribute_name_vsNecrophage_critical_hit_chance|네크로파지 대응 치명타 확률
2110992042|        |attribute_name_vsRelic_critical_hit_chance|잔존생물 대응 치명타 확률
2110992043|        |attribute_name_vsSpecter_critical_hit_chance|망령 대응 치명타 확률
2110992044|        |attribute_name_vsOgre_critical_hit_chance|오그로이드 치명타 확률
2110992045|        |attribute_name_vsVampire_critical_hit_chance|뱀파이어 대응 치명타 확률
2110992046|        |attribute_name_vsBeast_critical_hit_damage_bonus|야수 대응 치명타 피해량
2110992047|        |attribute_name_vsCursed_critical_hit_damage_bonus|저주받은 적 대응 치명타 피해량
2110992048|        |attribute_name_vsDraconide_critical_hit_damage_bonus|드라코니드 대응 치명타 피해량
2110992049|        |attribute_name_vsHuman_critical_hit_damage_bonus|교수형자 대응 치명타 피해량
2110992050|        |attribute_name_vsHybrid_critical_hit_damage_bonus|잡종 생물 대응 치명타 피해량
2110992051|        |attribute_name_vsInsectoid_critical_hit_damage_bonus|곤충류 대응 치명타 피해량
2110992052|        |attribute_name_vsMagicals_critical_hit_damage_bonus|정령 대응 치명타 피해량
